Pathogen Species,GA,species,GA,size,gc,genes
Comazfec virus 1,,Comazfec virus 1,,,,
Comazfec virus 10,,Comazfec virus 10,,,,
Comazfec virus 11,,Comazfec virus 11,,,,
Comazfec virus 12,,Comazfec virus 12,,,,
Comazfec virus 13,,Comazfec virus 13,,,,
Comazfec virus 14,,Comazfec virus 14,,,,
Comazfec virus 15,,Comazfec virus 15,,,,
Comazfec virus 16,,Comazfec virus 16,,,,
Comazfec virus 17,,Comazfec virus 17,,,,
Comazfec virus 2,,Comazfec virus 2,,,,
Comazfec virus 3,,Comazfec virus 3,,,,
Comazfec virus 4,,Comazfec virus 4,,,,
Comazfec virus 5,,Comazfec virus 5,,,,
Comazfec virus 6,,Comazfec virus 6,,,,
Comazfec virus 7,,Comazfec virus 7,,,,
Comazfec virus 8,,Comazfec virus 8,,,,
Comazfec virus 9,,Comazfec virus 9,,,,
Common blackbird circovirus,,Common blackbird circovirus,,,,
Common bullfinch circovirus,,Common bullfinch circovirus,,,,
Common buzzard alphaherpesvirus,0,Common buzzard alphaherpesvirus,,,,
Common crossbill circovirus,,Common crossbill circovirus,,,,
Common grenadier circovirus,,Common grenadier circovirus,,,,
Common moorhen coronavirus HKU21,GCF_000896895.1,Common moorhen coronavirus HKU21,GCF_000896895.1,26223.0,35,9
Common starling circovirus,,Common starling circovirus,,,,
Condorpox virus,,Condorpox virus,,,,
Cook virus,0,Cook virus,,,,
Cooks petrelpox virus,,Cooks petrelpox virus,,,,
Cooper virus,0,Cooper virus,,,,
Cope virus,0,Cope virus,,,,
Coronavirus Anas/p42/2005/GBR,0,Coronavirus Anas/p42/2005/GBR,,,,
Coronavirus Anas/p71/2005/GBR,0,Coronavirus Anas/p71/2005/GBR,,,,
Coronavirus HKU15,,Coronavirus HKU15,,,,
Coronavirus PREDICT_CoV-100,,Coronavirus PREDICT_CoV-100,,,,
Coronavirus oystercatcher/p17/2006/GBR,0,Coronavirus oystercatcher/p17/2006/GBR,,,,
Coronavirus red knot/p60/2006/GBR,0,Coronavirus red knot/p60/2006/GBR,,,,
Corvid orthoreovirus,0,Corvid orthoreovirus,GCA_031528435.1,23578.0,50.5,12
Corvus cornix herpesvirus,,Corvus cornix herpesvirus,,,,
Corvus corone cornix 2002 orthoreovirus,0,Corvus corone cornix 2002 orthoreovirus,,,,
Corvus monedula herpesvirus,,Corvus monedula herpesvirus,,,,
Crahelivirus A,0,Crahelivirus A,,,,
Cressdnaviricota sp.,,Cressdnaviricota sp.,GCF_023141935.1,2191.0,58,2
Cressvirus meleagris1922,,Cressvirus meleagris1922,,,,
Cressvirus meleagris952,,Cressvirus meleagris952,,,,
Crow astrovirus,,Crow astrovirus,,,,
Crow circovirus,,Crow circovirus,,,,
Crowpox virus,,Crowpox virus,GCA_031314235.1,328768.0,29.5,403
Crucivirus sp.,,Crucivirus sp.,GCA_031190105.1,6350.0,42.5,
Culex negev-like virus 3,0,Culex negev-like virus 3,GCA_036852075.1,9325.0,37,
Cyanistes caeruleus herpesvirus,0,Cyanistes caeruleus herpesvirus,,,,
Cyanopica cyanus CRESS-DNA-virus sp.,,Cyanopica cyanus CRESS-DNA-virus sp.,,,,
Cyanopica cyanus parvoviridae sp.,,Cyanopica cyanus parvoviridae sp.,,,,
Cyanoramphus nest associated circular K DNA virus,GCF_000918055.1,Cyanoramphus nest associated circular K DNA virus,GCF_000918055.1,2087.0,52,2
Cyanoramphus nest associated circular X DNA virus,GCF_000919075.1,Cyanoramphus nest associated circular X DNA virus,GCF_000919075.1,2308.0,49.5,2
Cyclovirus NG_chicken11,0,Cyclovirus NG_chicken11,,,,
Cyclovirus NG_chicken12,0,Cyclovirus NG_chicken12,,,,
Cyclovirus NG_chicken13,0,Cyclovirus NG_chicken13,,,,
Cyclovirus NG_chicken14,0,Cyclovirus NG_chicken14,,,,
Cyclovirus NG_chicken15,0,Cyclovirus NG_chicken15,,,,
Cyclovirus NG_chicken16,0,Cyclovirus NG_chicken16,,,,
Cyclovirus NG_chicken18,0,Cyclovirus NG_chicken18,,,,
Cyclovirus NG_chicken19,0,Cyclovirus NG_chicken19,,,,
Cyclovirus NG_chicken2,0,Cyclovirus NG_chicken2,,,,
Cyclovirus NG_chicken22,0,Cyclovirus NG_chicken22,,,,
Cyclovirus NG_chicken23,0,Cyclovirus NG_chicken23,,,,
Cyclovirus NG_chicken24,0,Cyclovirus NG_chicken24,,,,
Cyclovirus NG_chicken26,0,Cyclovirus NG_chicken26,,,,
Cyclovirus NG_chicken3,0,Cyclovirus NG_chicken3,,,,
Cyclovirus NG_chicken31,0,Cyclovirus NG_chicken31,,,,
Cyclovirus NG_chicken32,0,Cyclovirus NG_chicken32,,,,
Cyclovirus NG_chicken36,0,Cyclovirus NG_chicken36,,,,
Cyclovirus NG_chicken37,0,Cyclovirus NG_chicken37,,,,
Cyclovirus NG_chicken6,0,Cyclovirus NG_chicken6,,,,
Cyclovirus NG_chicken7,0,Cyclovirus NG_chicken7,,,,
Cyclovirus NG_chicken8,0,Cyclovirus NG_chicken8,,,,
Cyclovirus NG_chicken9,0,Cyclovirus NG_chicken9,,,,
Cyclovirus adie,GCF_002819905.1,Cyclovirus adie,GCF_002819905.1,1760.0,44.5,2
Cyclovirus cervienka,GCF_029886325.1,Cyclovirus cervienka,GCF_029886325.1,1829.0,39.5,2
Cyclovirus kacsa,GCF_002194385.1,Cyclovirus kacsa,GCF_002194385.1,1902.0,49.5,2
Cyclovirus liepsnele,GCF_029886335.1,Cyclovirus liepsnele,GCF_029886335.1,1846.0,39,2
Cyclovirus naahoohai,GCF_004133245.1,Cyclovirus naahoohai,GCF_004133245.1,1778.0,41,2
Cyclovirus nhanloai,0,Cyclovirus nhanloai,,,,
Cyclovirus pettirosso,GCF_029886285.1,Cyclovirus pettirosso,GCF_029886285.1,1939.0,49,2
Cyclovirus prihor,GCF_029886315.1,Cyclovirus prihor,GCF_029886315.1,1930.0,34.5,2
Cyclovirus punarinta,GCF_029886295.1,Cyclovirus punarinta,GCF_029886295.1,1806.0,38.5,2
Cyclovirus rudzik,GCF_029886305.1,Cyclovirus rudzik,GCF_029886305.1,1882.0,42,2
Cyclovirus totoi,GCF_029886275.1,Cyclovirus totoi,GCF_029886275.1,1916.0,40.5,2
Cygnet River virus,0,Cygnet River virus,,,,
Cygnus atratus CRESS-DNA-virus sp.,,Cygnus atratus CRESS-DNA-virus sp.,,,,
Cygnus atratus Chaphamaparvovirus,,Cygnus atratus Chaphamaparvovirus,,,,
Cygnus atratus parvoviridae sp.,,Cygnus atratus parvoviridae sp.,,,,
Cygnus columbianus CRESS-DNA-virus sp.,,Cygnus columbianus CRESS-DNA-virus sp.,,,,
Cygnus columbianus Chaphamaparvovirus,,Cygnus columbianus Chaphamaparvovirus,,,,
Cygnus columbianus parvo-like hybrid virus,,Cygnus columbianus parvo-like hybrid virus,,,,
Cygnus columbianus parvoviridae sp.,,Cygnus columbianus parvoviridae sp.,,,,
Cyvirus cyprinidallo3,0,Cyvirus cyprinidallo3,,,,
Dalvirus anatis,0,Dalvirus anatis,,,,
Davis virus,0,Davis virus,,,,
Deltacoronavirus B04,0,Deltacoronavirus B04,,,,
Deltacoronavirus B07,0,Deltacoronavirus B07,,,,
Deltacoronavirus HNU1-1,,Deltacoronavirus HNU1-1,GCA_031243005.1,26289.0,42,9
Deltacoronavirus HNU1-2,,Deltacoronavirus HNU1-2,GCA_031243015.1,26289.0,42,9
Deltacoronavirus HNU2,,Deltacoronavirus HNU2,GCA_031243035.1,26240.0,41.5,9
Deltacoronavirus HNU3,,Deltacoronavirus HNU3,GCA_031243025.1,26208.0,42,9
Deltacoronavirus sp.,,Deltacoronavirus sp.,GCA_031163155.1,26159.0,40,10
Dendrocopos leucotos CRESS-DNA-virus sp.,,Dendrocopos leucotos CRESS-DNA-virus sp.,,,,
Dendrocopos leucotos Chaphamaparvovirus,,Dendrocopos leucotos Chaphamaparvovirus,,,,
Dendrocopos leucotos parvoviridae sp.,,Dendrocopos leucotos parvoviridae sp.,,,,
Dependoparvovirus anseriform1,GCF_000845505.1,Dependoparvovirus anseriform1,GCF_000845505.1,5132.0,46,2
Dependoparvovirus avian1,GCF_029884995.1,Dependoparvovirus avian1,GCF_029884995.1,4642.0,57.5,4
Dependoparvovirus avian2,0,Dependoparvovirus avian2,,,,
Dependoparvovirus sp.,,Dependoparvovirus sp.,,,,
Dnistrovskyi 408 orbivirus,0,Dnistrovskyi 408 orbivirus,,,,
Drake virus,0,Drake virus,,,,
Dralkin virus,0,Dralkin virus,,,,
Driatsky virus,0,Driatsky virus,,,,
Dryglaski virus,0,Dryglaski virus,,,,
Dubrovin virus,0,Dubrovin virus,,,,
Duck adeno-associated virus,,Duck adeno-associated virus,,,,
Duck adenovirus,0,Duck adenovirus,,,,
Duck adenovirus 4,,Duck adenovirus 4,,,,
Duck associated circular virus VC9,,Duck associated circular virus VC9,,,,
Duck astrovirus 3,,Duck astrovirus 3,,,,
Duck astrovirus CPH,,Duck astrovirus CPH,GCA_031160965.1,7463.0,43,
Duck astrovirus GII.A,GCF_000883675.1,Duck astrovirus GII.A,GCF_000883675.1,7722.0,41.5,3
Duck atadenovirus A,,Duck atadenovirus A,GCF_000845945.1,33213.0,43,30
Duck aviadenovirus,,Duck aviadenovirus,,,,
Duck aviadenovirus B,GCF_000923915.1,Duck aviadenovirus B,GCF_000923915.1,43734.0,46,36
Duck calicivirus,0,Duck calicivirus,,,,
Duck calicivirus 2,0,Duck calicivirus 2,GCA_031192985.1,8293.0,54.5,2
Duck circovirus 3,,Duck circovirus 3,GCA_031321665.1,1755.0,50.5,
Duck coronavirus 2714,,Duck coronavirus 2714,,,,
Duck faeces associated circular DNA virus 1,GCF_001646015.1,Duck faeces associated circular DNA virus 1,GCF_001646015.1,2750.0,43,2
Duck faeces associated circular DNA virus 2,GCF_001646195.1,Duck faeces associated circular DNA virus 2,GCF_001646195.1,1845.0,32,2
Duck faeces associated circular DNA virus 3,GCF_001646395.1,Duck faeces associated circular DNA virus 3,GCF_001646395.1,1856.0,28,2
Duck flavivirus Anhui/2010,0,Duck flavivirus Anhui/2010,,,,
Duck flavivirus strain YY5,0,Duck flavivirus strain YY5,,,,
Duck genomovirus VC16,,Duck genomovirus VC16,,,,
Duck genomovirus VC17,,Duck genomovirus VC17,,,,
Duck hemorrhagic ovaritis virus,0,Duck hemorrhagic ovaritis virus,,,,
Duck hepacivirus,,Duck hepacivirus,,,,
Duck hepatitis B virus,GCF_000844545.1,Duck hepatitis B virus,GCF_000844545.1,3024.0,43,5
Duck hepatitis virus 3,,Duck hepatitis virus 3,,,,
Duck hepatitis virus AP,0,Duck hepatitis virus AP,,,,
Duck infectious anemia virus,0,Duck infectious anemia virus,GCA_031155845.1,8447.0,52,
Duck papillomavirus,0,Duck papillomavirus,,,,
Duck papillomavirus 3,0,Duck papillomavirus 3,GCA_031189275.1,7887.0,54.5,7
Duck parvovirus NM100,0,Duck parvovirus NM100,GCA_031164375.1,5073.0,46,
Duck parvovirus NM4,0,Duck parvovirus NM4,GCA_031165915.1,5073.0,46,
Duck picornavirus,,Duck picornavirus,,,,
Duck picornavirus duck/FC22/China/2017,0,Duck picornavirus duck/FC22/China/2017,GCA_031192865.1,7448.0,45.5,
Duck rhabdovirus,0,Duck rhabdovirus,,,,
Duck sapelovirus,,Duck sapelovirus,,,,
Duck ssDNA virus,,Duck ssDNA virus,GCA_031236235.1,1621.0,42,
Duck-associated chapparvovirus,,Duck-associated chapparvovirus,,,,
Duck-dominant coronavirus,,Duck-dominant coronavirus,,,,
Dundee virus,0,Dundee virus,,,,
Durnavirales sp.,,Durnavirales sp.,,,,
Eagle poxvirus,0,Eagle poxvirus,,,,
Eastern equine encephalitis virus,,Eastern equine encephalitis virus,GCF_000862705.1,11675.0,48.5,4
Ellsworth virus,0,Ellsworth virus,,,,
Emberiza chrysophrys CRESS-DNA-virus sp.,,Emberiza chrysophrys CRESS-DNA-virus sp.,,,,
Emberiza chrysophrys parvoviridae sp.,,Emberiza chrysophrys parvoviridae sp.,,,,
Emberiza cioides CRESS-DNA-virus sp.,,Emberiza cioides CRESS-DNA-virus sp.,,,,
Emberiza elegans CRESS-DNA-virus sp.,,Emberiza elegans CRESS-DNA-virus sp.,,,,
Emberiza pusilla Chaphamaparvovirus,,Emberiza pusilla Chaphamaparvovirus,,,,
Emberiza pusilla parvo-like hybrid virus,,Emberiza pusilla parvo-like hybrid virus,,,,
Emberiza pusilla parvoviridae sp.,,Emberiza pusilla parvoviridae sp.,,,,
Emberiza rustica CRESS-DNA-virus sp.,,Emberiza rustica CRESS-DNA-virus sp.,,,,
Emberiza rustica Genomoviridae sp.,,Emberiza rustica Genomoviridae sp.,,,,
Emberiza rustica parvoviridae sp.,,Emberiza rustica parvoviridae sp.,,,,
Emberiza spodocephala CRESS-DNA-virus sp.,,Emberiza spodocephala CRESS-DNA-virus sp.,,,,
Emberiza spodocephala Genomoviridae sp.,,Emberiza spodocephala Genomoviridae sp.,,,,
Emberiza spodocephala parvoviridae sp.,,Emberiza spodocephala parvoviridae sp.,,,,
Emberiza tristrami CRESS-DNA-virus sp.,,Emberiza tristrami CRESS-DNA-virus sp.,,,,
Emberiza tristrami Genomoviridae sp.,,Emberiza tristrami Genomoviridae sp.,,,,
Emberiza tristrami parvoviridae sp.,,Emberiza tristrami parvoviridae sp.,,,,
Enquatrovirus sp.,,Enquatrovirus sp.,,,,
Enterovirus F,0,Enterovirus F,GCF_000907315.1,7397.0,50.5,1
Estrildidae adenovirus 1,0,Estrildidae adenovirus 1,,,,
Estrildidae adenovirus 2,0,Estrildidae adenovirus 2,,,,
Etapapillomavirus 1,0,Etapapillomavirus 1,GCF_000841045.1,7729.0,47.5,6
Eurasian blackcap circovirus,,Eurasian blackcap circovirus,,,,
Eurasian jay circovirus,,Eurasian jay circovirus,,,,
Eurasian oystercatcher coronavirus,0,Eurasian oystercatcher coronavirus,,,,
European bee-eater circovirus,,European bee-eater circovirus,GCA_031310625.1,1960.0,49.5,
European goldfinch circovirus,,European goldfinch circovirus,,,,
European roller astrovirus,0,European roller astrovirus,GCA_031190065.1,8417.0,40,
Faeces associated gemycircularvirus 1,0,Faeces associated gemycircularvirus 1,,,,
Falco tinnunculus herpesvirus,,Falco tinnunculus herpesvirus,,,,
Falcon aviadenovirus A,,Falcon aviadenovirus A,GCA_022338145.1,39008.0,43.5,
Falcon coronavirus UAE-HKU27,0,Falcon coronavirus UAE-HKU27,GCA_031171215.1,26162.0,40,10
Falcon picornavirus,GCF_002355005.1,Falcon picornavirus,GCF_002355005.1,7964.0,42.5,1
Farmington virus,GCF_000926315.1,Farmington virus,GCF_000926315.1,12233.0,51.5,5
Feral pigeon astrovirus,,Feral pigeon astrovirus,,,,
Ficedula mugimaki CRESS-DNA-virus sp.,,Ficedula mugimaki CRESS-DNA-virus sp.,,,,
Ficedula mugimaki parvoviridae sp.,,Ficedula mugimaki parvoviridae sp.,,,,
Ficedula parva CRESS-DNA-virus sp.,,Ficedula parva CRESS-DNA-virus sp.,,,,
Ficedula parva parvoviridae sp.,,Ficedula parva parvoviridae sp.,,,,
Filchner virus,0,Filchner virus,,,,
Finch poxvirus,,Finch poxvirus,GCA_031311155.1,354030.0,30,
Finchpox virus,,Finchpox virus,,,,
Flamingopox virus,0,Flamingopox virus,,,,
Flamingopox virus FGPVKD09,GCF_002889855.1,Flamingopox virus FGPVKD09,GCF_002889855.1,293123.0,29.5,285
Flavivirus CJD05/CHN/2010,0,Flavivirus CJD05/CHN/2010,,,,
Flavivirus duck/SD/CHN/2010,0,Flavivirus duck/SD/CHN/2010,,,,
Flavivirus strain CJD05,0,Flavivirus strain CJD05,,,,
Foot-and-mouth disease virus,,Foot-and-mouth disease virus,,,,
Fort Morgan virus,0,Fort Morgan virus,GCF_000885435.1,11381.0,48.5,3
Fowl adenovirus,,Fowl adenovirus,GCA_009372355.1,44291.0,53.5,
Fowl adenovirus 12,0,Fowl adenovirus 12,,,,
Fowl adenovirus HR1,0,Fowl adenovirus HR1,,,,
Fowl adenovirus HR2,0,Fowl adenovirus HR2,,,,
Fowl adenovirus HR3,0,Fowl adenovirus HR3,,,,
Fowl adenovirus HR4,0,Fowl adenovirus HR4,,,,
Fowl aviadenovirus A,,Fowl aviadenovirus A,GCF_000845105.1,43804.0,54.5,31
Fowl aviadenovirus B,GCF_000907375.1,Fowl aviadenovirus B,GCF_000907375.1,45781.0,56.5,39
Fowl aviadenovirus C,GCF_000890915.1,Fowl aviadenovirus C,GCF_000890915.1,45667.0,54.5,46
Fowl aviadenovirus D,,Fowl aviadenovirus D,GCF_000844285.1,45063.0,54,29
Fowl aviadenovirus E,GCF_002817995.1,Fowl aviadenovirus E,GCF_002817995.1,43810.0,58,37
Fowl aviadenovirus sp.,,Fowl aviadenovirus sp.,,,,
Fowlpox virus,,Fowlpox virus,GCF_000838605.1,288539.0,31,260
Fregata magnificens alphaherpesvirus 1,,Fregata magnificens alphaherpesvirus 1,,,,
Fregata magnificens herpesvirus,0,Fregata magnificens herpesvirus,,,,
French Guiana picornavirus,,French Guiana picornavirus,GCA_031239545.1,7645.0,44,
French Guiana reovirus,,French Guiana reovirus,,,,
Fringilla montifringilla CRESS-DNA-virus sp.,,Fringilla montifringilla CRESS-DNA-virus sp.,,,,
Fringilla montifringilla Chaphamaparvovirus,,Fringilla montifringilla Chaphamaparvovirus,,,,
Fringilla montifringilla Circoviridae sp.,,Fringilla montifringilla Circoviridae sp.,,,,
Fringilla montifringilla Genomoviridae sp.,,Fringilla montifringilla Genomoviridae sp.,,,,
Fringilla montifringilla parvoviridae sp.,,Fringilla montifringilla parvoviridae sp.,,,,
Fuchs virus,0,Fuchs virus,,,,
Gallid herpesvirus,0,Gallid herpesvirus,,,,
Galliform chaphamaparvovirus 10,,Galliform chaphamaparvovirus 10,GCA_031311165.1,4211.0,44.5,
Galliform chaphamaparvovirus 11,,Galliform chaphamaparvovirus 11,GCA_031311175.1,4070.0,43.5,
Galliform chaphamaparvovirus 12,,Galliform chaphamaparvovirus 12,GCA_031311185.1,3429.0,42,
Galliform chaphamaparvovirus 13,,Galliform chaphamaparvovirus 13,GCA_031311195.1,2582.0,43,
Galliform chaphamaparvovirus 14,,Galliform chaphamaparvovirus 14,GCA_031311205.1,1948.0,44.5,
Galliform chaphamaparvovirus 15,,Galliform chaphamaparvovirus 15,GCA_031311215.1,1914.0,40.5,
Galliform chaphamaparvovirus 16,,Galliform chaphamaparvovirus 16,GCA_031311225.1,1895.0,44.5,
Galliform chaphamaparvovirus 17,,Galliform chaphamaparvovirus 17,GCA_031311235.1,1622.0,45,
Galliform chaphamaparvovirus 6,,Galliform chaphamaparvovirus 6,GCA_031311245.1,4270.0,44.5,
Galliform chaphamaparvovirus 7,,Galliform chaphamaparvovirus 7,GCA_031311255.1,4230.0,42.5,
Galliform chaphamaparvovirus 8,,Galliform chaphamaparvovirus 8,GCA_031311265.1,4225.0,40.5,
Galliform chaphamaparvovirus 9,,Galliform chaphamaparvovirus 9,GCA_031311275.1,4212.0,43,
Gallivirus A,GCF_000924095.1,Gallivirus A,GCF_000924095.1,8432.0,45,1
Gallivirus Pf-CHK1/GV,GCF_001500755.1,Gallivirus Pf-CHK1/GV,GCF_001500755.1,8506.0,45.5,1
Gallivirus sp.,,Gallivirus sp.,,,,
Gammacoronavirus sp.,,Gammacoronavirus sp.,,,,
Gammapolyomavirus anseris,,Gammapolyomavirus anseris,,,,
Gammapolyomavirus avis,,Gammapolyomavirus avis,,,,
Gammapolyomavirus corvi,GCF_000868965.1,Gammapolyomavirus corvi,GCF_000868965.1,5079.0,45.5,6
Gammapolyomavirus cratorquatus,GCF_000914155.1,Gammapolyomavirus cratorquatus,GCF_000914155.1,5084.0,45.5,6
Gammapolyomavirus egouldiae,GCF_003033365.1,Gammapolyomavirus egouldiae,GCF_003033365.1,5172.0,44.5,6
Gammapolyomavirus lonmaja,GCF_003033375.1,Gammapolyomavirus lonmaja,GCF_003033375.1,5284.0,51,6
Gammapolyomavirus padeliae,GCF_000930155.1,Gammapolyomavirus padeliae,GCF_000930155.1,4988.0,52.5,5
Gammapolyomavirus pypyrrhula,GCF_000864605.1,Gammapolyomavirus pypyrrhula,GCF_000864605.1,5278.0,51,6
Gammapolyomavirus secanaria,GCF_000896095.1,Gammapolyomavirus secanaria,GCF_000896095.1,5421.0,49,5
Garrulus glandarius associated circular virus 1,GCF_002219445.1,Garrulus glandarius associated circular virus 1,GCF_002219445.1,1971.0,45,2
Garrulus glandarius parvoviridae sp.,,Garrulus glandarius parvoviridae sp.,,,,
Gaviid herpesvirus 1,0,Gaviid herpesvirus 1,,,,
Gemycircularvirus blabi1,0,Gemycircularvirus blabi1,,,,
Gemycircularvirus chicas1,GCF_001646115.1,Gemycircularvirus chicas1,GCF_001646115.1,2247.0,52.5,3
Gemycircularvirus chicas2,GCF_001646335.1,Gemycircularvirus chicas2,GCF_001646335.1,2230.0,53,3
Gemycircularvirus chickad1,GCF_001273685.1,Gemycircularvirus chickad1,GCF_001273685.1,2152.0,52,2
Gemycircularvirus furse1,0,Gemycircularvirus furse1,,,,
Gemycircularvirus geras1,GCF_000928755.1,Gemycircularvirus geras1,GCF_000928755.1,2288.0,54,2
Gemycircularvirus geras2,GCF_000929795.1,Gemycircularvirus geras2,GCF_000929795.1,2187.0,50.5,2
Gemycircularvirus geras3,GCF_000927875.1,Gemycircularvirus geras3,GCF_000927875.1,2199.0,53,2
Gemycircularvirus malas1,GCF_000927855.1,Gemycircularvirus malas1,GCF_000927855.1,2290.0,47.5,2
Gemycircularvirus sp.,GCF_003848605.1,Gemycircularvirus sp.,GCF_003848605.1,2138.0,50,2
Gemygorvirus malas1,GCF_001646535.1,Gemygorvirus malas1,GCF_001646535.1,2194.0,53,3
Gemygorvirus stara1,GCF_000930475.1,Gemygorvirus stara1,GCF_000930475.1,2229.0,51,2
Gemykibivirus blabi1,GCF_000927915.1,Gemykibivirus blabi1,GCF_000927915.1,2130.0,50.5,2
Gemykibivirus blaro1,GCF_000928815.1,Gemykibivirus blaro1,GCF_000928815.1,2174.0,52,2
Gemykibivirus galga1,GCF_018589205.1,Gemykibivirus galga1,GCF_018589205.1,2189.0,52,2
Gemykibivirus galga2,GCF_018589245.1,Gemykibivirus galga2,GCF_018589245.1,2183.0,52.5,2
Gemykibivirus galga3,GCF_018589115.1,Gemykibivirus galga3,GCF_018589115.1,2173.0,51,2
Gemykibivirus sewopo1,GCF_001646055.1,Gemykibivirus sewopo1,GCF_001646055.1,2136.0,50.5,3
Gemykrogvirus galga1,GCF_018589195.1,Gemykrogvirus galga1,GCF_018589195.1,2142.0,48,2
Gemykrogvirus galga2,GCF_001967675.1,Gemykrogvirus galga2,GCF_001967675.1,2143.0,49,2
Gemykrogvirus galga3,GCF_018589075.1,Gemykrogvirus galga3,GCF_018589075.1,2216.0,52,2
Gemykrogvirus galga4,GCF_018589215.1,Gemykrogvirus galga4,GCF_018589215.1,2160.0,50,2
Gemykrogvirus galga5,GCF_018589065.1,Gemykrogvirus galga5,GCF_018589065.1,2222.0,52,2
Gemytondvirus ostri1,GCF_000928795.1,Gemytondvirus ostri1,GCF_000928795.1,2122.0,48.5,2
Genomoviridae sp.,GCF_018591135.1,Genomoviridae sp.,GCF_018591135.1,2178.0,54,2
Gentoo penguin virus,0,Gentoo penguin virus,,,,
Gerritsz virus,0,Gerritsz virus,,,,
Ghabrivirales sp.,,Ghabrivirales sp.,,,,
Goose adenovirus 5,0,Goose adenovirus 5,,,,
Goose adenovirus Y81G4,0,Goose adenovirus Y81G4,,,,
Goose astrovirus,GCF_002146085.1,Goose astrovirus,GCF_002146085.1,7299.0,41.5,3
Goose astrovirus 1,,Goose astrovirus 1,GCA_031301795.1,7310.0,42,
Goose astrovirus 2,,Goose astrovirus 2,GCA_031242835.1,7183.0,43.5,3
Goose aviadenovirus A,GCF_000897155.1,Goose aviadenovirus A,GCF_000897155.1,43376.0,44.5,35
Goose calicivirus,GCF_000920715.1,Goose calicivirus,GCF_000920715.1,8013.0,54.5,2
Goose parvovirus SDDY21,,Goose parvovirus SDDY21,,,,
Goose parvovirus SDJN21,,Goose parvovirus SDJN21,,,,
Goose parvovirus SDWF22,,Goose parvovirus SDWF22,,,,
Goose pegivirus 1,,Goose pegivirus 1,GCA_031250005.1,11479.0,57.5,
Goose pegivirus 2,,Goose pegivirus 2,GCA_031250015.1,11195.0,58.5,
Goose-dominant Coronavirus,0,Goose-dominant Coronavirus,,,,
Gouldian finch adenovirus 1,0,Gouldian finch adenovirus 1,,,,
Gouldian finch circovirus,,Gouldian finch circovirus,,,,
Great tit siadenovirus A,GCF_002925555.1,Great tit siadenovirus A,GCF_002925555.1,13628.0,37.5,10
Grey teal calicivirus,0,Grey teal calicivirus,,,,
Grey teal chaphamaparvovirus,,Grey teal chaphamaparvovirus,,,,
Grey teal gyrovirus,,Grey teal gyrovirus,,,,
Grey teal parvovirus,0,Grey teal parvovirus,,,,
Grey teal picobirnavirus X,0,Grey teal picobirnavirus X,,,,
Grey teal picobirnavirus Z,0,Grey teal picobirnavirus Z,,,,
Grey teal picobirnavirus y,0,Grey teal picobirnavirus y,,,,
Griffon vulture papillomavirus,0,Griffon vulture papillomavirus,,,,
Gruhelivirus A,GCF_013087255.1,Gruhelivirus A,GCF_013087255.1,7073.0,43.5,1
Grus japonensis CRESS-DNA-virus sp.,,Grus japonensis CRESS-DNA-virus sp.,,,,
Grus japonensis Chaphamaparvovirus,,Grus japonensis Chaphamaparvovirus,,,,
Grus japonensis parvo-like hybrid virus,,Grus japonensis parvo-like hybrid virus,,,,
Grus japonensis parvoviridae sp.,,Grus japonensis parvoviridae sp.,,,,
Grus monacha CRESS-DNA-virus sp.,,Grus monacha CRESS-DNA-virus sp.,,,,
Grus nigricollis-associatied genomovirus,,Grus nigricollis-associatied genomovirus,,,,
Grusopivirus A,GCF_003390015.1,Grusopivirus A,GCF_003390015.1,7917.0,41,1
Grusopivirus B,GCF_003390035.1,Grusopivirus B,GCF_003390035.1,7104.0,42.5,1
Grusopivirus C,GCF_004995665.1,Grusopivirus C,GCF_004995665.1,7862.0,39.5,1
Grusopivirus sp.,,Grusopivirus sp.,,,,
Guinea fowl astrovirus,0,Guinea fowl astrovirus,,,,
Guinea fowl circovirus,0,Guinea fowl circovirus,,,,
Guinea fowl picornavirus,,Guinea fowl picornavirus,GCA_031243325.1,8061.0,41,
Gull adenovirus,,Gull adenovirus,,,,
Gull coronavirus,0,Gull coronavirus,,,,
Gull metapneumovirus,0,Gull metapneumovirus,GCA_031192995.1,14458.0,42,9
Gull papillomavirus 1,0,Gull papillomavirus 1,GCA_031189325.1,7699.0,57.5,7
Gull papillomavirus 2,0,Gull papillomavirus 2,,,,
Gull papillomavirus 3,0,Gull papillomavirus 3,,,,
Gyrovirus 10,0,Gyrovirus 10,GCA_003260835.1,2195.0,51.5,3
Gyrovirus 2126_10,,Gyrovirus 2126_10,,,,
Gyrovirus 2316_26,,Gyrovirus 2316_26,,,,
Gyrovirus 2316_32,,Gyrovirus 2316_32,,,,
Gyrovirus 2885_18H,,Gyrovirus 2885_18H,,,,
Gyrovirus 2885_18K,,Gyrovirus 2885_18K,,,,
Gyrovirus 2885_18L,,Gyrovirus 2885_18L,,,,
Gyrovirus 3,,Gyrovirus 3,GCA_031191135.1,2356.0,53,3
Gyrovirus 6,,Gyrovirus 6,GCA_031191145.1,2220.0,52.5,3
Gyrovirus 9,,Gyrovirus 9,GCA_031236225.1,2215.0,45,3
Gyrovirus VC5,,Gyrovirus VC5,,,,
Gyrovirus VC7,,Gyrovirus VC7,,,,
Gyrovirus chickenanemia,,Gyrovirus chickenanemia,,,,
